@relation adult

@attribute 'age' {0,1,2,3,4}
@attribute 'workclass' {Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked}
@attribute 'fnlwgt' REAL
@attribute 'education' {Bachelors, Some-college, 11th, HS-grad, Prof-school, Assoc-acdm, Assoc-voc, 9th, 7th-8th, 12th, Masters, 1st-4th, 10th, Doctorate, 5th-6th, Preschool}
@attribute 'education-num' REAL
@attribute 'marital-status' {Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse}
@attribute 'occupation' {Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, Adm-clerical, Farming-fishing, Transport-moving, Priv-house-serv, Protective-serv, Armed-Forces}
@attribute 'relationship' {Wife, Own-child, Husband, Not-in-family, Other-relative, Unmarried}
@attribute 'race' {White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black}
@attribute 'sex' {Female, Male}
@attribute 'capitalgain' {0,1,2,3,4}
@attribute 'capitalloss' {0,1,2,3,4}
@attribute 'hoursperweek' {0,1,2,3,4}
@attribute 'native-country' {United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, Honduras, Philippines, Italy, Poland, Jamaica, Vietnam, Mexico, Portugal, Ireland, France, Dominican-Republic, Laos, Ecuador, Taiwan, Haiti, Columbia, Hungary, Guatemala, Nicaragua, Scotland, Thailand, Yugoslavia, El-Salvador, Trinadad&Tobago, Peru, Hong, Holand-Netherlands}
@attribute 'class' {>50K, <=50K}

@data
4,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
0,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
3,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,3,South,>50K
2,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
3,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,2,United-States,<=50K
2,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1,2,United-States,<=50K
1,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
0,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
3,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,Puerto-Rico,<=50K
0,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
1,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,?,>50K
3,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
4,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
2,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
0,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,1,?,<=50K
3,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,3,Honduras,>50K
3,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,>50K
3,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
3,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
1,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
2,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,<=50K
1,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,2,United-States,<=50K
1,?,293936,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,2,?,<=50K
3,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
3,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,?,200681,Some-college,10,Never-married,?,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,>50K
0,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0,United-States,<=50K
1,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,Mexico,<=50K
2,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
4,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,0,United-States,<=50K
0,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
1,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
3,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
4,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
3,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
3,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,>50K
4,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1,1,?,<=50K
1,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
2,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
1,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
4,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
3,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
0,?,304873,10th,6,Never-married,?,Own-child,White,Female,4,0,1,United-States,<=50K
1,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
1,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
4,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2,3,Canada,>50K
1,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2,0,1,United-States,<=50K
2,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
1,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
3,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
0,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2,1,United-States,<=50K
1,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
2,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
2,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,2,United-States,<=50K
2,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
2,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
0,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
3,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,>50K
4,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,<=50K
2,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
4,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
1,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
2,?,174662,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
1,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
0,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
3,?,252903,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,2,United-States,>50K
3,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
1,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
4,?,38317,1st-4th,2,Divorced,?,Not-in-family,White,Female,0,0,0,United-States,<=50K
0,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,2,United-States,<=50K
1,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
2,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
2,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
2,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
4,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
1,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,3,2,United-States,<=50K
1,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
1,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,<=50K
1,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
2,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,>50K
2,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
2,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,?,135105,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,United-States,<=50K
4,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
2,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
0,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
3,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,2,Mexico,<=50K
2,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
1,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,2,0,2,United-States,>50K
0,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
0,?,170653,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,2,Italy,<=50K
3,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
2,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,<=50K
2,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,140164,11th,7,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,2,United-States,>50K
1,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,4,0,1,United-States,>50K
0,Private,65368,11th,7,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
2,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
1,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
4,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
3,Self-emp-inc,125417,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
2,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,3,United-States,>50K
3,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
